# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.083774775    3.805779155    3.805771501    2.909655140
    3.093783784    3.798193343    3.798185718    2.905628429
    3.103792793    3.790638732    3.790631136    2.901610637
    3.113801802    3.783115126    3.783107557    2.897601760
    3.123810811    3.775622329    3.775614788    2.893601797
    3.133819820    3.768160147    3.768152634    2.889610742
    3.143828829    3.760728389    3.760720903    2.885628594
    3.153837838    3.753326864    3.753319405    2.881655347
    3.163846847    3.745955384    3.745947952    2.877690997
    3.173855856    3.738613763    3.738606358    2.873735540
    3.183864865    3.731301815    3.731294437    2.869788972
    3.193873874    3.724019358    3.724012007    2.865851286
    3.203882883    3.716766210    3.716758885    2.861922479
    3.213891892    3.709542191    3.709534892    2.858002544
    3.223900901    3.702347122    3.702339849    2.854091475
    3.233909910    3.695180828    3.695173580    2.850189266
    3.243918919    3.688043132    3.688035910    2.846295912
    3.253927928    3.680933862    3.680926665    2.842411406
    3.263936937    3.673852845    3.673845673    2.838535741
    3.273945946    3.666799911    3.666792764    2.834668909
    3.283954955    3.659774890    3.659767769    2.830810905
    3.293963964    3.652777616    3.652770519    2.826961720
    3.303972973    3.645807923    3.645800850    2.823121347
    3.313981982    3.638865645    3.638858597    2.819289778
    3.323990991    3.631950620    3.631943596    2.815467006
    3.334000000    3.625062686    3.625055687    2.811653021
    3.344009009    3.618201683    3.618194707    2.807847815
    3.354018018    3.611367452    3.611360500    2.804051380
    3.364027027    3.604559836    3.604552907    2.800263708
    3.374036036    3.597778678    3.597771772    2.796484788
    3.384045045    3.591023823    3.591016941    2.792714612
    3.394054054    3.584295119    3.584288260    2.788953171
    3.404063063    3.577592412    3.577585576    2.785200454
    3.414072072    3.570915553    3.570908740    2.781456452
    3.424081081    3.564264392    3.564257601    2.777721156
    3.434090090    3.557638780    3.557632011    2.773994555
    3.444099099    3.551038570    3.551031824    2.770276639
    3.454108108    3.544463617    3.544456893    2.766567398
    3.464117117    3.537913776    3.537907074    2.762866821
    3.474126126    3.531388904    3.531382224    2.759174897
    3.484135135    3.524888858    3.524882200    2.755491615
    3.494144144    3.518413498    3.518406862    2.751816965
    3.504153153    3.511962684    3.511956070    2.748150935
    3.514162162    3.505536278    3.505529685    2.744493514
    3.524171171    3.499134142    3.499127569    2.740844691
    3.534180180    3.492756139    3.492749588    2.737204453
    3.544189189    3.486402135    3.486395605    2.733572790
    3.554198198    3.480071995    3.480065486    2.729949689
    3.564207207    3.473765587    3.473759099    2.726335138
    3.574216216    3.467482779    3.467476311    2.722729125
    3.584225225    3.461223440    3.461216992    2.719131639
    3.594234234    3.454987439    3.454981012    2.715542666
