# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     6.032070257    6.031850694    4.894473291
    0.011009009 1683.106106553 1683.194570083   10.803816172
    1.932738739    7.691371772    7.690715298    3.187147910
    1.942747748    7.167620537    7.166899447    3.200362334
    1.952756757    6.686636824    6.685984115    3.213239896
    1.962765766    6.333289976    6.332738765    3.229702148
    1.972774775    6.097564368    6.097074314    3.251746697
    1.982783784    5.931133813    5.930684198    3.279438010
    1.992792793    5.807484917    5.807108855    3.312424623
    2.002801802    5.718684112    5.718415994    3.350625503
    2.012810811    5.641211392    5.641045492    3.393875814
    2.022819820    5.540879159    5.540798126    3.441666584
    2.032828829    5.409762282    5.409770106    3.493274247
    2.042837838    5.270899384    5.270995210    3.547856871
    2.052846847    5.139621971    5.139753924    3.604287032
    2.062855856    4.992411759    4.992481542    3.660717536
    2.072864865    4.769200406    4.769116382    3.713879286
    2.082873874    4.410875817    4.410610081    3.758127844
    2.092882883    3.917311559    3.916921819    3.784568301
    2.102891892    3.358634190    3.358218307    3.781533430
    2.112900901    2.810871155    2.810495206    3.739016326
    2.122909910    2.312842491    2.312528903    3.658233108
    2.132918919    1.894670320    1.894424352    3.558565560
    2.142927928    1.583982648    1.583788469    3.467965067
    2.152936937    1.355876740    1.355681622    3.401918424
    2.162945946    1.114148739    1.113877093    3.355168638
    2.172954955    0.743394116    0.742987911    3.311548728
    2.182963964    0.185923162    0.185381370    3.256023832
    2.192972973   -0.521989979   -0.522610863    3.177832549
    2.202981982   -1.281316556   -1.281937335    3.069339230
    2.212990991   -1.973075815   -1.973616322    2.932708066
    2.223000000   -2.482031321   -2.482428199    2.790330230
    2.233009009   -2.739534117   -2.739769262    2.677458942
    2.243018018   -2.754692715   -2.754793673    2.618170707
    2.253027027   -2.589463055   -2.589474920    2.613699697
    2.263036036   -2.313962807   -2.313925221    2.651035967
    2.273045045   -1.982243012   -1.982183052    2.714968742
    2.283054054   -1.628905623   -1.628839392    2.793661077
    2.293063063   -1.273990989   -1.273927182    2.879112282
    2.303072072   -0.928671129   -0.928613955    2.965782868
    2.313081081   -0.599556301   -0.599507363    3.049032685
    2.323090090   -0.291418275   -0.291377589    3.123975807
    2.333099099   -0.008214367   -0.008180737    3.185335717
